Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Score,Seconds
213,3:52.91,Neil GOURLEY,07 FEB 1995,GBR,4,"Bislett Stadion, Oslo (NOR)",16 JUN 2022,1163,232.91
214,3:52.92,Frederick CHERUIYOT,20 SEP 1970,KEN,5,Sheffield (GBR),02 AUG 1998,1163,232.92000000000002
215,3:52.94,John GREGOREK,07 DEC 1991,USA,4,"Bislett Stadion, Oslo (NOR)",13 JUN 2019,1163,232.94
216,3:52.95,Bouabdellah TAHRI,20 DEC 1978,FRA,9,"Stadio Olimpico, Roma (ITA)",12 JUL 2002,1163,232.95
217,3:52.96,Manuel PANCORBO,07 JUL 1966,ESP,6,Oslo (NOR),10 JUL 1993,1163,232.96
218,3:52.97,Charles PHILIBERT-THIBOUTOT,31 DEC 1990,CAN,1,"Falmouth HS James Kalperis Track, Falmouth, MA (USA)",14 AUG 2021,1163,232.97
219,3:52.99,Mark ROWLAND,07 MAR 1963,GBR,7,"Stadio Olimpico, Roma (ITA)",10 SEP 1986,1162,232.99
220,3:53.00,Joaquim CRUZ,12 MAR 1963,BRA,2,"Westwood, CA (USA)",13 MAY 1984,1162,233.0
221,3:53.02,Francis GONZALEZ,06 FEB 1952,FRA,8,Lausanne (SUI),14 JUL 1981,1162,233.02
222,3:53.04,Ronald MUSAGALA,16 DEC 1992,UGA,6,"Bislett Stadion, Oslo (NOR)",01 JUL 2021,1162,233.04
223,3:53.05,Elkanah Onkware ANGWENYI,05 FEB 1983,KEN,4,"Eugene, OR (USA)",04 JUN 2005,1162,233.05
224,3:53.10,Kipchoge KEINO,17 JAN 1940,KEN,1,Kisumu (KEN),10 SEP 1967,1161,233.1
225,3:53.13,Philemon HANNECK,12 MAY 1971,ZIM,4,San Donato Milanese (ITA),30 MAY 1992,1160,233.13
226,3:53.14,David LELEI,10 MAY 1971,KEN,13,"Stadio Olimpico, Roma (ITA)",07 JUL 1999,1160,233.14
227,3:53.15,Garrett HEATH,03 NOV 1985,USA,10,"Olympic Stadium, London (GBR)",27 JUL 2013,1160,233.15
227,3:53.15,Adam Ali MUSAB,17 APR 1995,QAT,7,"Bislett Stadion, Oslo (NOR)",01 JUL 2021,1160,233.15
229,3:53.16,Peter Kipkorir BIWOTT,22 AUG 1976,KEN,12,"Stadio Olimpico, Roma (ITA)",29 JUN 2001,1160,233.16
230,3:53.20,Tony WALDROP,29 DEC 1951,USA,1,"Philadelphia, PA (USA)",27 APR 1974,1160,233.2
231,3:53.20,Ian STEWART,22 SEP 1960,GBR,8,Koblenz (GER),25 AUG 1982,1160,233.2
231,3:53.20,Charles GRETHEN,02 JUN 1992,LUX,5,"Bislett Stadion, Oslo (NOR)",16 JUN 2022,1160,233.2
233,3:53.24,Mark FOUNTAIN,10 MAR 1982,AUS,4,Sheffield (GBR),21 AUG 2005,1159,233.24
234,3:53.25,Richie BOULET,14 JUN 1973,USA,3f1,"Eugene, OR (USA)",31 MAY 1998,1159,233.25
235,3:53.29,Hillary CHENONGE,30 MAY 1985,KEN,5,"Blankers-Koen Stadion, Hengelo (NED)",01 JUN 2003,1158,233.29
236,3:53.30,David WOTTLE,07 AUG 1950,USA,1,"Eugene, OR (USA)",20 JUN 1973,1158,233.3
236,3:53.30,Rick WOHLHUTER,23 DEC 1948,USA,1,"Wichita, KS (USA)",31 MAY 1975,1158,233.3
238,3:53.30,Mário SILVA,23 JUL 1961,POR,4,Jerez de la Frontera (ESP),17 SEP 1991,1158,233.3
238,3:53.30,Edgar Martins DE OLIVEIRA,11 NOV 1967,BRA,4,"Eugene, OR (USA)",26 MAY 1996,1158,233.3
240,3:53.33,Evan JAGER,08 MAR 1989,USA,3f2,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1158,233.32999999999998
240,3:53.33,Amos BARTELSMEYER,25 JUL 1994,GER,6,"Olympic Stadium, London (GBR)",21 JUL 2019,1158,233.32999999999998
242,3:53.34,Mogens GULDBERG,02 AUG 1963,DEN,5,Lausanne (SUI),10 JUL 1991,1158,233.34
242,3:53.34,Chris O'HARE,23 NOV 1990,GBR,2f2,"Hayward Field, Eugene, OR (USA)",27 MAY 2017,1158,233.34
242,3:53.34,Yared NUGUSE,01 JUN 1999,USA,1,"Cardinal Gibbons High School, Raleigh, NC (USA)",05 AUG 2022,1158,233.34
245,3:53.36,Mario GARCÍA,29 JUN 1999,ESP,1,"Vanderbilt Multipurpose Facility, Nashville, TN (USA)",11 FEB 2022,1158,233.36
246,3:53.39,Thomas LANCASHIRE,02 JUL 1985,GBR,9,"Crystal Palace, London (GBR)",14 AUG 2010,1157,233.39
247,3:53.40,Hailu MEKONNEN,04 APR 1980,ETH,10,"Bislett Stadion, Oslo (NOR)",28 JUL 2000,1157,233.4
247,3:53.40,David BUSTOS,25 AUG 1990,ESP,6,"Bislett Stadion, Oslo (NOR)",13 JUN 2013,1157,233.4
249,3:53.42,Ferdinand Kvan EDMAN,12 FEB 1993,NOR,8,"Bislett Stadion, Oslo (NOR)",01 JUL 2021,1157,233.42000000000002
250,3:53.44,Cory LESLIE,24 OCT 1989,USA,3,Dublin (IRL),11 JUL 2014,1157,233.44
251,3:53.46,Jakub HOLUŠA,20 FEB 1988,CZE,6,"Bislett Stadion, Oslo (NOR)",11 JUN 2015,1156,233.46
252,3:53.47,Marko KOERS,03 NOV 1972,NED,5,Berlin (GER),30 AUG 1996,1156,233.47
253,3:53.49,Elijah Kipruto MARU,12 JUN 1976,KEN,1,Melbourne (AUS),20 FEB 1997,1156,233.49
254,3:53.53,Julius KIPTOO,04 SEP 1977,KEN,2,Rieti (ITA),03 SEP 1997,1155,233.53
255,3:53.55,Andreas BUSSE,06 MAY 1959,GDR,2,Berlin (GER),20 AUG 1982,1155,233.55
256,3:53.58,Pat SCAMMELL,15 APR 1961,AUS,2,Melbourne (AUS),07 FEB 1991,1155,233.57999999999998
257,3:53.60,Michel JAZY,13 JUN 1936,FRA,1,Rennes (FRA),09 JUN 1965,1154,233.6
258,3:53.62,Rod DIXON,13 JUL 1950,NZL,3,Stockholm (SWE),30 JUN 1975,1154,233.62
258,3:53.62,Josphat Kiprono MENJO,20 AUG 1979,KEN,1,Joensuu (FIN),21 AUG 2010,1154,233.62
260,3:53.63,Sammy RONO,1974,KEN,6,Paris (FRA),29 JUL 1998,1154,233.63
261,3:53.64,Kevin MCKAY,09 FEB 1969,GBR,7,"Bislett Stadion, Oslo (NOR)",22 JUL 1994,1154,233.64
261,3:53.64,Terrance HERRINGTON,31 JUL 1966,USA,2,"Eugene, OR (USA)",04 JUN 1995,1154,233.64
263,3:53.69,Michael TOO,03 AUG 1983,KEN,6,"Blankers-Koen Stadion, Hengelo (NED)",01 JUN 2003,1153,233.69
264,3:53.72,Zane ROBERTSON,14 NOV 1989,NZL,4,Dublin (IRL),11 JUL 2014,1153,233.72
265,3:53.74,Omar KHALIFA,18 DEC 1956,SUD,2,Berlin (GER),17 AUG 1984,1153,233.74
266,3:53.76,Andrew J. ACOSTA,13 APR 1988,USA,2f2,"Hayward Field, Eugene, OR (USA)",03 JUL 2010,1152,233.76
267,3:53.78,Rob MYERS,05 AUG 1980,USA,7,"Crystal Palace, London (GBR)",30 JUL 2004,1152,233.78
268,3:53.80,Jürgen MAY,18 JUN 1942,GDR,1,Wanganui (NZL),11 DEC 1965,1152,233.8
268,3:53.80,Bodo TÜMMLER,08 DEC 1943,FRG,1,Karlskrona (SWE),22 AUG 1968,1152,233.8
270,3:53.82,Gary STAINES,03 JUL 1963,GBR,1,Portsmouth (GBR),12 AUG 1990,1152,233.82
271,3:53.83,Kalle BERGLUND,11 MAR 1996,SWE,8,"Bislett Stadion, Oslo (NOR)",13 JUN 2019,1152,233.82999999999998
272,3:53.85,Rob HARRISON,05 JUN 1959,GBR,4,Nice (FRA),15 JUL 1986,1151,233.85
272,3:53.85,Salah EL GHAZI,02 NOV 1975,MAR,7,Stockholm (SWE),05 AUG 1998,1151,233.85
274,3:53.86,Graham DAVIDSON,14 OCT 1978,RSA,8,"Blankers-Koen Stadion, Hengelo (NED)",01 JUN 2003,1151,233.86
275,3:53.87,Mohammed AHMED,05 JAN 1991,CAN,10,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1151,233.87
276,3:53.88,Josh KERR,08 OCT 1997,GBR,8,"Olympic Stadium, London (GBR)",21 JUL 2019,1151,233.88
277,3:53.93,Han KULKER,15 AUG 1959,NED,1,Hechtel (BEL),14 AUG 1985,1150,233.93
277,3:53.93,Niall BRUTON,27 OCT 1971,IRL,9,Oslo (NOR),05 JUL 1996,1150,233.93
279,3:53.95,Andreas VOJTA,09 JUN 1989,AUT,8,"Bislett Stadion, Oslo (NOR)",13 JUN 2013,1150,233.95
280,3:54.01,Moses KIPTANUI,01 OCT 1970,KEN,11,Oslo (NOR),06 JUL 1991,1149,234.01
281,3:54.02,Festus LAGAT,10 OCT 1996,KEN,2,"Cardinal Gibbons High School, Raleigh, NC (USA)",05 AUG 2022,1149,234.02
282,3:54.04,Peter SNELL,17 DEC 1938,NZL,1,Auckland (NZL),17 NOV 1964,1149,234.04
283,3:54.06,Kevin JOHNSON,03 DEC 1960,USA,4,Berlin (GER),17 AUG 1984,1149,234.06
284,3:54.07,Vincent CIATTEI,21 JAN 1995,USA,2,"Mater Dei Prep, Middletown Township, NJ (USA)",01 SEP 2022,1149,234.07
285,3:54.09,Vickson Naran POLONET,02 JUL 1985,KEN,5,Ostrava (CZE),17 JUN 2009,1148,234.09
285,3:54.09,Eric HOLT,12 MAY 1995,USA,3,"Mater Dei Prep, Middletown Township, NJ (USA)",01 SEP 2022,1148,234.09
287,3:54.10,Martin JOHNS,05 JUL 1969,NZL,6,"Eugene, OR (USA)",26 MAY 1996,1148,234.1
288,3:54.11,Klaus-Peter NABEIN,10 MAY 1960,FRG,5,Lausanne (SUI),02 SEP 1986,1148,234.11
289,3:54.17,Adam GOUCHER,18 FEB 1975,USA,3,"Eugene, OR (USA)",30 MAY 1999,1147,234.17000000000002
290,3:54.19,Donald PAIGE,13 OCT 1956,USA,2,"Westwood, CA (USA)",16 MAY 1982,1147,234.19
291,3:54.20,Frank CLEMENT,26 APR 1952,GBR,4,Oslo (NOR),27 JUN 1978,1147,234.2
291,3:54.20,Doug PADILLA,04 OCT 1956,USA,1,"Westwood, CA (USA)",06 AUG 1989,1147,234.2
293,3:54.21,Fouad EL KAAM,27 MAY 1988,MAR,8f2,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1147,234.21
294,3:54.23,David KRUMMENACKER,24 MAY 1975,USA,2,St. Louis (USA),25 JUL 1998,1146,234.23
295,3:54.24,Jon Byron RANKIN,09 FEB 1982,USA,1,Stretford (GBR),11 AUG 2007,1146,234.24
296,3:54.27,Archie DAVIS,16 OCT 1998,GBR,3,"International Stadium, Gateshead (GBR)",13 JUL 2021,1146,234.27
297,3:54.29,Taylor MILNE,14 SEP 1981,CAN,1,"Walnut, CA (USA)",20 APR 2012,1146,234.29
298,3:54.30,David STRANG,13 DEC 1968,GBR,9,"Bislett Stadion, Oslo (NOR)",22 JUL 1994,1146,234.3
298,3:54.30,Marc DAVIS,17 DEC 1969,USA,8,Nice (FRA),16 JUL 1997,1146,234.3
298,3:54.30,Collis BIRMINGHAM,27 DEC 1984,AUS,4,"Crystal Palace, London (GBR)",25 JUL 2009,1146,234.3
301,3:54.36,Seneca LASSITER,12 MAR 1977,USA,9,Oslo (NOR),13 JUL 2001,1145,234.36
301,3:54.36,Eliud KIPSANG,09 SEP 1996,KEN,2,"Vanderbilt Multipurpose Facility, Nashville, TN (USA)",11 FEB 2022,1145,234.36
303,3:54.37,Geoffrey Kipkoech RONO,21 APR 1987,KEN,7,"Bislett Stadion, Oslo (NOR)",04 JUN 2010,1145,234.37
304,3:54.38,Ignacio FONTES,22 JUN 1998,ESP,10,"Hayward Field, Eugene, OR (USA)",28 MAY 2022,1145,234.38
305,3:54.39,Neil HORSFIELD,07 DEC 1966,GBR,4,Cork (IRL),08 JUL 1986,1144,234.39
306,3:54.40,Adrian BLINCOE,04 NOV 1979,NZL,8,Rieti (ITA),07 SEP 2003,1144,234.4
307,3:54.43,Jason LUNN,19 SEP 1974,USA,6,"Eugene, OR (USA)",24 MAY 2003,1144,234.43
308,3:54.45,Anders GÄRDERUD,28 AUG 1946,SWE,5,Stockholm (SWE),30 JUN 1975,1144,234.45
309,3:54.46,Chris LUKEZIC,24 APR 1984,USA,6,"Eugene, OR (USA)",28 MAY 2006,1144,234.46
310,3:54.48,David TAYLOR,07 MAR 1959,IRL,4,Cork (IRL),13 JUL 1983,1143,234.48
311,3:54.50,Herb ELLIOTT,25 FEB 1938,AUS,1,Dublin (IRL),06 AUG 1958,1143,234.5
312,3:54.51,Dawit WOLDE,19 MAY 1991,ETH,13,"Hayward Field, Eugene, OR (USA)",01 JUN 2013,1143,234.51
312,3:54.51,Sean MCGORTY,08 MAR 1995,USA,3,"Cardinal Gibbons High School, Raleigh, NC (USA)",05 AUG 2022,1143,234.51
314,3:54.52,Ulf HÖGBERG,21 JAN 1946,SWE,2,Stockholm (SWE),01 JUL 1974,1143,234.52
315,3:54.53,Tim HUTCHINGS,04 DEC 1958,GBR,4,Edinburgh (GBR),31 JUL 1982,1143,234.53
315,3:54.53,Luke MATHEWS,21 JUN 1995,AUS,6f2,"Hayward Field, Eugene, OR (USA)",27 MAY 2017,1143,234.53
317,3:54.56,Terry BRAHM,21 NOV 1962,USA,3,Burnaby (CAN),16 JUL 1984,1142,234.56
317,3:54.56,Isaac Kiprono SONGOK,25 APR 1984,KEN,1,Linz (AUT),20 AUG 2001,1142,234.56
319,3:54.57,Marc CORSTJENS,31 AUG 1965,BEL,9,Oslo (NOR),10 JUL 1993,1142,234.57
319,3:54.57,Kyle MERBER,19 NOV 1990,USA,1,"Raleigh, NC (USA)",05 AUG 2016,1142,234.57
321,3:54.59,Bennie GREYLING,01 FEB 1965,RSA,1,Durban (RSA),09 DEC 1987,1142,234.59
321,3:54.59,Jonathan DAVIS,10 OCT 1997,USA,3,"Vanderbilt Multipurpose Facility, Nashville, TN (USA)",11 FEB 2022,1142,234.59
323,3:54.60,Steve PREFONTAINE,25 JAN 1951,USA,2,"Eugene, OR (USA)",20 JUN 1973,1142,234.6
323,3:54.60,Danie MALAN,26 JUN 1950,RSA,1,Stellenbosch (RSA),26 FEB 1975,1142,234.6
323,3:54.60,Tony ROGERS,30 APR 1957,NZL,2,Wanganui (NZL),18 DEC 1982,1142,234.6
323,3:54.60,John QUADE,01 MAR 1967,USA,2,"Westwood, CA (USA)",06 AUG 1989,1142,234.6
327,3:54.62,Victor RADEBE,27 SEP 1961,RSA,2,Port Elizabeth (RSA),11 MAR 1987,1142,234.62
327,3:54.62,James NOLAN,27 JAN 1977,IRL,9,Rieti (ITA),07 SEP 2003,1142,234.62
329,3:54.63,Abderrahmane MORCELI,1957,ALG,6,Roma (ITA),01 SEP 1983,1141,234.63
329,3:54.63,Gerry O'REILLY,01 JUL 1964,IRL,2,"Villanova, PA (USA)",08 JUN 1986,1141,234.63
329,3:54.63,Morgan MCDONALD,23 APR 1996,AUS,1,"Bay Shore, NY (USA)",04 SEP 2019,1141,234.63
332,3:54.64,Samuel PRAKEL,29 OCT 1994,USA,3,"Raleigh, NC (USA)",03 AUG 2018,1141,234.64
333,3:54.65,Tom SMITH,09 OCT 1957,USA,4,"Westwood, CA (USA)",13 MAY 1984,1141,234.65
333,3:54.65,Vincent MALAKWEN,19 JUL 1974,KEN,10,Oslo (NOR),05 JUL 1996,1141,234.65
335,3:54.66,Mohamed KHALDI,05 MAR 1975,ALG,11,Bruxelles (BEL),25 AUG 2000,1141,234.66
336,3:54.68,Tom MOLONEY,11 MAR 1960,IRL,5,Cork (IRL),08 JUL 1986,1141,234.68
337,3:54.69,Vincent ROUSSEAU,29 JUL 1962,BEL,2,Hechtel (BEL),14 AUG 1985,1141,234.69
338,3:54.70,John HARTNETT,07 JUL 1950,IRL,3,"Eugene, OR (USA)",20 JUN 1973,1141,234.7
338,3:54.70,Karl FLESCHEN,28 MAY 1955,FRG,1,Berlin (GER),26 AUG 1977,1141,234.7
340,3:54.70,Andrew GRAFFIN,20 DEC 1977,GBR,7,London (GBR),23 AUG 2002,1141,234.7
341,3:54.72,Daniel Lemashon SALEL,11 DEC 1990,KEN,6,Ostrava (CZE),17 JUN 2009,1140,234.72
342,3:54.73,Robert DOMANIC,10 MAR 1995,USA,2f1,"Concord, MA (USA)",01 JUN 2017,1140,234.73
343,3:54.75,Lee EMANUEL,24 JAN 1985,GBR,14,"Olympic Stadium, London (GBR)",27 JUL 2013,1140,234.75
344,3:54.77,Cameron PAGE,12 JUN 1991,AUS,1,Cork (IRL),02 JUL 2013,1140,234.77
344,3:54.77,Paul ROBINSON,24 MAY 1991,IRL,11,"Bislett Stadion, Oslo (NOR)",11 JUN 2014,1140,234.77
346,3:54.78,Tom BIRGER HANSEN,25 FEB 1948,DEN,6,Stockholm (SWE),30 JUN 1975,1140,234.78
347,3:54.80,James BREWER,18 JUN 1988,GBR,6,"Crystal Palace, London (GBR)",25 JUL 2009,1139,234.8
347,3:54.80,Andrew HUNTER,05 SEP 1997,USA,1f2,"Bill Henry Track, Los Angeles, CA (USA)",09 JUL 2022,1139,234.8
349,3:54.81,Paul MWANGI,19 NOV 1973,KEN,3,Zagreb (CRO),07 JUL 1998,1139,234.81
349,3:54.81,Henok LEGESSE,19 SEP 1988,ETH,9,"Eugene, OR (USA)",07 JUN 2009,1139,234.81
351,3:54.83,Karl PARANYA,27 JUN 1975,USA,5,"Eugene, OR (USA)",30 MAY 1999,1139,234.82999999999998
352,3:54.84,Steve LACY,17 JAN 1956,USA,3,Stockholm (SWE),07 JUL 1980,1139,234.84
352,3:54.84,Rachid EL BASIR,04 OCT 1968,MAR,8,Oslo (NOR),04 JUL 1992,1139,234.84
354,3:54.86,Brahim BOUTAYEB,15 AUG 1967,MAR,6,"Letzigrund, Zürich (SUI)",19 AUG 1987,1139,234.86
354,3:54.86,George BEAMISH,24 OCT 1996,NZL,1,"Hayward Field, Eugene, OR (USA)",20 AUG 2021,1139,234.86
356,3:54.87,Bryan BERRYHILL,15 DEC 1977,USA,2,Linz (AUT),20 AUG 2001,1138,234.87
357,3:54.89,Matthew STONIER,24 SEP 2001,GBR,1,"Parliament Hill Fields Athletics Track, London (GBR)",14 MAY 2022,1138,234.89
358,3:54.90,Adrian PASSEY,02 SEP 1964,GBR,2,Harlow (GBR),20 AUG 1989,1138,234.9
359,3:54.90,Jamey HARRIS,14 JUN 1971,USA,8,Stockholm (SWE),05 AUG 1998,1138,234.9
359,3:54.90,Bert LEENAERTS,01 JUL 1980,BEL,13,Bruxelles (BEL),25 AUG 2000,1138,234.9
359,3:54.90,Peter VAN DER WESTHUIZEN,21 DEC 1984,RSA,8,"Bislett Stadion, Oslo (NOR)",04 JUN 2010,1138,234.9
362,3:54.91,Piers COPELAND,26 NOV 1998,GBR,2,"Parliament Hill Fields Athletics Track, London (GBR)",14 MAY 2022,1138,234.91
363,3:54.92,Christophe IMPENS,09 DEC 1969,BEL,4,Sheffield (GBR),25 AUG 1996,1138,234.92000000000002
364,3:54.94,Matt CENTROWITZ,28 JAN 1955,USA,10,Oslo (NOR),26 JUN 1982,1137,234.94
364,3:54.94,Paul MCMULLEN,19 FEB 1972,USA,7,"Crystal Palace, London (GBR)",22 JUL 2001,1137,234.94
364,3:54.94,Colby ALEXANDER,13 JUN 1991,USA,2,"Raleigh, NC (USA)",05 AUG 2016,1137,234.94
367,3:54.96,Matthew HOLTHAUS,02 NOV 1971,USA,7,"Eugene, OR (USA)",30 MAY 1999,1137,234.96
368,3:54.97,Samuel TANNER,24 AUG 2000,NZL,1,"Cooks Gardens, Wanganui (NZL)",30 JAN 2021,1137,234.97
369,3:55.00,Dennis FIKES,12 JUN 1951,USA,2,"Philadelphia, PA (USA)",27 APR 1974,1137,235.0
369,3:55.00,Jim MCGUINNESS,21 SEP 1951,GBR,4,Dublin (IRL),11 JUL 1977,1137,235.0
371,3:55.00,Osama ZOGHLAMI,19 JUN 1994,ITA,2f12,"Arena Civica, Milano (ITA)",11 JUN 2022,1137,235.0
372,3:55.01,Johan ROGESTEDT,27 JAN 1993,SWE,5,"Olympic Stadium, London (GBR)",22 JUL 2016,1137,235.01
373,3:55.02,Evan DORENKAMP,24 DEC 2000,USA,4,"Vanderbilt Multipurpose Facility, Nashville, TN (USA)",11 FEB 2022,1136,235.02
374,3:55.05,Jeremy ROFF,22 NOV 1983,AUS,8,"Crystal Palace, London (GBR)",25 JUL 2009,1136,235.05
375,3:55.10,Steve FOSTER,17 APR 1952,USA,3,"Philadelphia, PA (USA)",30 APR 1977,1135,235.1
376,3:55.10,Noureddine BÉHAR,08 APR 1966,MAR,9,Nice (FRA),16 JUL 1997,1135,235.1
377,3:55.12,Alan CULPEPPER,15 SEP 1972,USA,4,St. Louis (USA),25 JUL 1998,1135,235.12
377,3:55.12,Raymond Kipkorir YATOR,07 APR 1981,KEN,10,"Eugene, OR (USA)",27 MAY 2001,1135,235.12
379,3:55.13,István KNIPL,11 JUL 1961,HUN,5,Koblenz (GER),29 AUG 1984,1135,235.13
379,3:55.13,Michał ROZMYS,13 MAR 1995,POL,7,"Bislett Stadion, Oslo (NOR)",16 JUN 2022,1135,235.13
381,3:55.14,Jason PYRAH,06 APR 1969,USA,8,"Eugene, OR (USA)",26 MAY 1996,1135,235.14
381,3:55.14,Brian FAY,09 NOV 1998,IRL,2f6,"Dempsey Indoor, Seattle, WA (USA)",29 JAN 2022,1135,235.14
383,3:55.15,Robert HEPPENSTALL,28 FEB 1997,CAN,5,"Cardinal Gibbons High School, Raleigh, NC (USA)",05 AUG 2022,1135,235.15
384,3:55.16,Joshphat Mitunga KITHII,28 DEC 1990,KEN,5f2,"Hayward Field, Eugene, OR (USA)",03 JUL 2010,1135,235.16
385,3:55.17,Johnny KROON,06 JAN 1960,SWE,5,Berlin (GER),15 AUG 1986,1135,235.17000000000002
386,3:55.18,Alfred Kirwa YEGO,28 NOV 1986,KEN,4,"Hayward Field, Eugene, OR (USA)",04 JUN 2011,1134,235.18
387,3:55.19,Tim HACKER,27 DEC 1962,USA,5,"New York, NY (USA)",22 JUL 1989,1134,235.19
388,3:55.20,James YOUNG,29 DEC 1997,GBR,5,"Vanderbilt Multipurpose Facility, Nashville, TN (USA)",11 FEB 2022,1134,235.2
389,3:55.23,Samuel ZELEKE,09 MAR 1999,ETH,8,"Bislett Stadion, Oslo (NOR)",16 JUN 2022,1134,235.23
390,3:55.24,David Kipkoech KISANG,1974,KEN,1,London (GBR),04 JUN 2000,1134,235.24
390,3:55.24,Jeff SEE,06 JUN 1986,USA,2,"Falmouth, MA (USA)",13 AUG 2011,1134,235.24
392,3:55.26,Ross DONOGHUE,19 JUL 1959,USA,5,"Westwood, CA (USA)",13 MAY 1984,1133,235.26
392,3:55.26,Dominique BOUCHARD,04 FEB 1963,FRA,5,Nice (FRA),13 JUL 1987,1133,235.26
394,3:55.27,Ken HALL,25 JUL 1951,AUS,10,Oslo (NOR),17 JUL 1979,1133,235.27
395,3:55.28,Andriy BULKOWSKIY,22 JUL 1972,UKR,1,Zürich (SUI),17 AUG 1994,1133,235.28
396,3:55.30,Peter STEWART,08 AUG 1947,GBR,1,London (GBR),10 JUN 1972,1133,235.3
396,3:55.30,Jürgen STRAUB,03 NOV 1953,GDR,3,Berlin (GER),26 AUG 1977,1133,235.3
398,3:55.31,Dub MYERS,04 APR 1964,USA,1,"Eugene, OR (USA)",17 MAY 1986,1133,235.31
398,3:55.31,Rémy GEOFFROY,22 MAR 1963,FRA,6,"Letzigrund, Zürich (SUI)",17 AUG 1988,1133,235.31
398,3:55.31,Abraham CHEBII,23 DEC 1979,KEN,2,London (GBR),04 JUN 2000,1133,235.31
398,3:55.31,Andrew COSCORAN,18 JUN 1996,IRL,3,"Parliament Hill Fields Athletics Track, London (GBR)",14 MAY 2022,1133,235.31
402,3:55.32,Yobes ONDIEKI,21 FEB 1961,KEN,8,Lausanne (SUI),10 JUL 1991,1133,235.32
403,3:55.33,Andrés VERA,31 DEC 1960,ESP,6,Oslo (NOR),21 JUL 1984,1133,235.32999999999998
404,3:55.34,Balázs TÖLGYESI,10 JAN 1973,HUN,5,Sheffield (GBR),25 AUG 1996,1132,235.34
405,3:55.37,Thomas MAYO,02 MAY 1977,GBR,5,"Crystal Palace, London (GBR)",08 AUG 2003,1132,235.37
406,3:55.38,Robert DENMARK,23 NOV 1968,GBR,3,Portsmouth (GBR),12 AUG 1990,1132,235.38
406,3:55.38,Brahim EL GHAZALI,01 JAN 1968,FRA,6,Villeneuve d'Ascq (FRA),01 JUL 1991,1132,235.38
406,3:55.38,Julius ACHON,12 DEC 1976,UGA,2,"New York, NY (USA)",06 JUN 1999,1132,235.38
406,3:55.38,Kyle MILLER,15 MAY 1985,USA,5,"Hayward Field, Eugene, OR (USA)",04 JUN 2011,1132,235.38
410,3:55.39,Ossama MESLEK,08 JAN 1997,ITA,4,"Parliament Hill Fields Athletics Track, London (GBR)",14 MAY 2022,1132,235.39
411,3:55.40,Jim GRELLE,30 SEP 1936,USA,1,Vancouver (CAN),15 JUN 1965,1132,235.4
412,3:55.40,Bronisław MALINOWSKI,04 JUN 1951,POL,4,Stockholm (SWE),09 AUG 1976,1132,235.4
412,3:55.40,Matthews TEMANE,14 DEC 1960,RSA,1,Potchefstroom (RSA),09 MAR 1983,1132,235.4
414,3:55.41,Colin REITZ,06 APR 1960,GBR,5,Edinburgh (GBR),31 JUL 1982,1132,235.41
414,3:55.41,Vincent Kibet KETER,11 MAR 2002,KEN,12,"Hayward Field, Eugene, OR (USA)",28 MAY 2022,1132,235.41
414,3:55.41,Jack ANSTEY,08 APR 1997,AUS,2,"Henderson HS, West Chester, PA (USA)",11 AUG 2022,1132,235.41
417,3:55.42,Deon BRUMMER,04 APR 1959,RSA,3,Port Elizabeth (RSA),11 MAR 1987,1131,235.42000000000002
417,3:55.42,Christian CUSHING-MURRAY,18 OCT 1967,USA,4,"Eugene, OR (USA)",04 JUN 1995,1131,235.42000000000002
419,3:55.43,Eric AVILA,03 OCT 1989,USA,1,"Memphis, TN (USA)",25 AUG 2018,1131,235.43
420,3:55.44,John TRAVERS,16 MAR 1991,IRL,6,Dublin (IRL),11 JUL 2014,1131,235.44
421,3:55.48,Ryan HILL,31 JAN 1990,USA,2,"Memphis, TN (USA)",25 AUG 2018,1131,235.48
421,3:55.48,George MILLS,12 MAY 1999,GBR,5,"Parliament Hill Fields Athletics Track, London (GBR)",14 MAY 2022,1131,235.48
423,3:55.49,Miloud ABAOUB,23 APR 1977,ALG,10,Nice (FRA),16 JUL 1997,1131,235.49
424,3:55.50,Jim BEATTY,28 OCT 1934,USA,2,Compton (GBR),07 JUN 1963,1130,235.5
425,3:55.50,Mohamed AL GARNI,02 JUL 1992,QAT,9,"Bislett Stadion, Oslo (NOR)",04 JUN 2010,1130,235.5
426,3:55.53,Maurice SMITH,20 NOV 1962,USA,3,"New York, NY (USA)",29 JUL 1990,1130,235.53
426,3:55.53,Ibrahim Mohamed ADEN,11 NOV 1972,USA,5,"Hayward Field, Eugene, OR (USA)",26 MAY 2002,1130,235.53
426,3:55.53,Kieran LUMB,02 AUG 1998,CAN,1f1,"Dempsey Indoor, Seattle, WA (USA)",15 JAN 2022,1130,235.53
429,3:55.54,Trevor DUNBAR,29 APR 1991,USA,5f1,"Concord, MA (USA)",01 JUN 2017,1130,235.54
430,3:55.55,Josef ODLOŽIL,11 NOV 1938,TCH,2,London (GBR),30 AUG 1965,1130,235.55
430,3:55.55,Christian OBRIST,20 NOV 1980,ITA,11,"Stadio Olimpico, Roma (ITA)",12 JUL 2002,1130,235.55
